trace,rob,iq,w,ipc
perl,128,128,1,1.00
perl,32,64,8,2.18
perl,64,128,2,1.97
perl,512,64,1,1.00
perl,512,64,8,6.77
perl,32,128,4,2.19
perl,32,256,1,1.00
perl,512,32,1,1.00
gcc,512,64,8,7.34
gcc,128,128,4,3.92
perl,64,128,4,3.16
perl,128,16,8,2.88
perl,32,64,1,1.00
perl,128,32,2,1.97
gcc,512,256,4,3.94
perl,32,32,1,1.00
gcc,32,16,1,1.00
perl,32,256,8,2.18
perl,512,256,2,1.98
gcc,512,8,2,1.85
perl,512,128,2,1.98
perl,32,128,1,1.00
perl,128,128,4,3.83
gcc,512,128,2,1.99
perl,32,32,8,2.18
gcc,64,16,4,3.36
gcc,512,64,1,1.00
gcc,256,256,1,1.00
perl,256,64,8,6.72
perl,128,16,2,1.87
gcc,256,32,4,3.87
gcc,128,64,8,6.18
perl,64,32,2,1.97
gcc,128,64,1,1.00
perl,128,64,4,3.83
perl,64,256,1,1.00
perl,256,64,1,1.00
perl,32,256,2,1.79
perl,512,256,4,3.89
gcc,512,16,2,1.98
perl,128,256,1,1.00
gcc,64,128,2,1.99
gcc,32,32,4,2.38
perl,256,16,8,2.88
gcc,64,16,1,1.00
gcc,512,8,1,0.99
perl,512,128,4,3.89
gcc,256,256,8,7.63
gcc,256,16,2,1.98
perl,32,64,2,1.79
perl,256,256,4,3.89
gcc,512,16,4,3.43
gcc,256,128,2,1.99
perl,256,256,1,1.00
gcc,512,128,1,1.00
gcc,32,128,4,2.38
perl,512,64,4,3.87
gcc,64,8,2,1.85
perl,64,32,1,1.00
gcc,256,8,4,2.28
perl,256,8,1,0.98
gcc,128,8,4,2.28
perl,64,8,4,1.98
perl,64,64,2,1.97
perl,256,64,2,1.98
gcc,128,128,1,1.00
gcc,512,8,4,2.28
perl,64,256,8,3.51
gcc,64,16,2,1.98
perl,64,16,8,2.87
perl,32,256,4,2.19
perl,32,128,8,2.18
gcc,256,64,8,7.34
perl,64,64,8,3.51
gcc,128,8,2,1.85
perl,256,256,8,7.05
perl,128,256,4,3.83
perl,32,128,2,1.79
gcc,64,8,4,2.28
gcc,32,8,4,2.16
gcc,32,16,4,2.38
perl,256,8,2,1.64
perl,64,8,1,0.98
perl,256,256,2,1.98
perl,128,8,4,1.98
perl,32,32,2,1.79
perl,128,256,8,5.36
gcc,128,8,1,0.99
